epoch,loss,lr,val_loss
0,0.521389365196228,1e-04,0.4677702486515045
1,0.3680424690246582,1e-04,0.35396769642829895
2,0.31216806173324585,1e-04,0.2820971608161926
3,0.2828492820262909,1e-04,0.24173319339752197
4,0.26779836416244507,1e-04,0.2360178679227829
5,0.2647278606891632,1e-04,0.2121896743774414
6,0.2554762363433838,1e-04,0.24057866632938385
7,0.2455960512161255,1e-04,0.23594696819782257
8,0.2489524483680725,1e-04,0.20497079193592072
9,0.2361830174922943,1e-05,0.20588287711143494
10,0.23637999594211578,1e-05,0.2000698447227478
11,0.2356582134962082,1e-05,0.19860152900218964
12,0.23304370045661926,1e-05,0.19963261485099792
13,0.23272576928138733,1e-05,0.19911988079547882
14,0.2292705774307251,5e-06,0.19727341830730438
15,0.22763019800186157,5e-06,0.19763736426830292
16,0.22834526002407074,5e-06,0.19691960513591766
17,0.22731809318065643,5e-06,0.1968490034341812
18,0.22969919443130493,5e-06,0.19654059410095215
19,0.22874309122562408,1e-06,0.19652226567268372
20,0.22661063075065613,1e-06,0.1963648647069931
21,0.22680528461933136,1e-06,0.19641634821891785
22,0.22517341375350952,1e-06,0.19640344381332397
23,0.22515757381916046,1e-06,0.19626742601394653
24,0.2251845896244049,1e-06,0.19627514481544495
